sentence,label
"Sorry guys... :(
I was the reason for this trouble.",0
Thanks!,1
"I haven't had any time to try re-upgrading after having to back out 2.0.8, but I will be sure to let you know how it works out as soon as I get the opportunity.",0
"My bad, I screwed up the assertion -> RuntimeException transition.",0
"No unit test, sorry (but there's not much deltaQuery coverage anyway).",0
"If so, a test that succeeds with errors is confusing as hell...",0
Especially I don't know very much about the test framework differences.,0
"Hi Edward

Thanks for spotting it.",1
"Sorry, should have commented on this much sooner.",0
"Sorry, this affects 0.9.3 version too.",0
"Nice, I did not think about using the system tables.",1
Sorry about that.,0
"Thanks, Mike!",1
My error.,0
Thank you Brandon.,1
Sorry I'm wrong about #2.,0
"I have this issue, where my server and client is creating a lot of loopback threads, that I believe must be related to this issue.",0
I've tested them out and everything is fine.,1
Sorry about that.,0
"Damn, Chuck is scary.",0
Sorry for the hassle.,0
"Sorry if this spam's things, however it's unlikely that I'll work on these.",0
Thanks Dianne!,1
"Thanks a lot for the reviews, Todd.",1
The patch went to the wrong bug.,0
"Thanks a lot, Kiran for the patch.",1
"I don't care if everything is pretty or not, but we should at least support basic admin functionality in IE IMO (though I have not used it for years for just about anything).",0
"Thanks Oliver, that's fixed it. ",1
Thanks for the quick patching Donald!,1
"That sucks, why isn't the escape mechanism working?",0
Thanks Sijie.,1
"So I also changed a test to test a non-ascii stopword :)
",0
I don't care about code duplication here.,0
It's not too bad once CacheConfig is in.,0
"Sorry about that...

http://bit.ly/12UiaS",0
Thanks Andi.,1
"Sorry, missed that select-box.",0
When you install a node module globally it goes into /usr/local where you don't have permissions to move shit into unless you sudo.,0
Sorry but this is just stupid.,0
Maybe only one of us should play lawyer and the other one play engineer.,0
Sorry for the noise.,0
"Oops, had a bad comparator in the TestCLI config.",0
Damn !,0
"Ah, too bad.",0
I screwed up the encoding of the stopwords file (sorry).,0
Thanks for sweet patch Erik.,1
"Sorry  about that, tiredness.",0
" (In this particular case, Hoss clearly intended to use the no-no word as an intensifier, and not to stir shit.)",0
My bad.,0
Thanks to Edward and Brock for the reviews.,1
"Aha,, thanks for the information. That makes sense. Glad to hear that it helped! :)",1
I want to integrate the sweet sweet logo Andrew crafted.,1
I don't have strong opinions about it either way.,0
"Looks pretty cool. Fresh and minimalist. Love it :-)
Good work.",1
The problems I was talking about are mostly fixed by [HADOOP-3575] and [HADOOP-3480].,0
"Django is a fullstack framework, Click is not.",0
*sorry*,0
"Ignore comment.

",0
Didn't got the time to try it yet.,0
You may want to carefully examine your assumption about this.,0
"Oh, ok.",0
Sorry.,0
Here is quite bad.,0
"Fixed in svn revision 533916.

thanks,
dims",1
Any word on whether it will be fixed?,0
Applied patch with thanks to Scott.,1
The responder seemed to be a bottleneck.,0
"Megan, Glad to be of service : )",1
I did not have time to do it yesterday.,0
Thanks Kathey.,1
"Sorry for the delay, was away.",0
"Thanks Alexei, the patch is fine.
",1
"Shit, my bad. The posted patch is from a completely wrong branch of my git repo - I had not realized I ran the test-patch against a branch not branch-1.",0
That is bad.,0
fuck u,0
You would need to implement session resume; thats a whole new can of worms.,0
Original edited patch was messed up... stupid sed!,0
Thank you!,1
"(back from holidays, so a bit delayed, but) I confirm Andrzej's suggestion -- a plain-text only summarized is ideal for clustering for example.",0
(How bad is this?,0
"Thanks, Adrian!",1
Replaced patch with fix to catch more bad variables,0
"I suspect it has nothing to do with the file system connector or Infinispan connectors, and is simply a (stupid) mistake in the federated join processor.",0
"Sorry ;-) +1
",0
"* Replaced TreeMap with an Array of final 'Segment' objects
** (now very slightly faster than trunk)
* Rebased for trunk
* Removed the patch renaming SSTableReaderTest to SegmentedFileTest

I didn't remove the builder pattern, because the alternative seems pretty ugly (copying the segments array for every append).",0
Thanks for the patch Mubarak.,1
"Sorry, https://bugzilla.mozilla.org/show_bug.cgi?id=514760 is related but not same.",0
Sorry I missed some of this the first time.,0
"Sorry, didn't look at the code until commit...

Can you test making it hash to a Long or a 8-byte ByteBuffer?",0
Pretty much everything that FSNamesystem (ie.,0
"Daryn, the current patch looks good.",1
"Sounds weird to me...
Could you package a (totally!)",0
Incidentally if we all nag Joe Walnes enough we might be able to persuade him to release a new qdox which can ignore annotations etc (though it will still struggle with generics I think),0
I'm an idiot... there's nothing wrong with the readme.txt.,0
"Just to clarify... you made the DTPE handle exceptions the same way as CassandraDaemon by updating it to use NBHS instead of CSLS... 

Did you just tell me to go fuck myself?",0
"Sweet, I will review and apply.",1
"This was a very bad bug, introduced by me being an idiot.",0
"- there were a hell of a bigger problem, though : as we were blocked in the executor until the SearchRequest was totally processed, all the responses were enqueued.",0
"Sorry, I had attached an older version... let's try this one.",0
"Also, your username was stupidly named and confusing, so I deleted it and created a new one more appropriate.",0
Long Life MyFacesssssssssss!,1
"Hi James,

This patch has been applied by chirino in the revision 576522  at Sep 17.",1
"As far as the query shit, i have no idea if solrdispatchfilter or whatever could/should do Thread.currentThread().setName(x) or whatever (and maybe restore after)",0
"So, it is stuck somewhere.",0
This is where it gets confusing.,0
"Hi Carlos, This looks awesome! Lots of cool stuff.",1
Sorry for the spam - but which test method - can't find any related to the SnapPuller on trunk.,0
Thanks Karl.,1
"Please forget last comment, it is incorrect.",0
Thats sweet that you have the prior experience hacking this on top of a store already.,1
I think you made mistakes in ivy.xml.,0
I really like what I am seeing so far.,1
Sorry for the wild goose chase!,0
"Thanks, Daryn!",1
"Igor, sorry it took me so long to get back to this.",0
Damn...,0
"Well, that sucks.",0
I found the (sad) attempt at a script you asked about and uploaded it to MAPREDUCE-4282.,0
Last try.,0
"Sorry for the delay and thanks for the good work, works like a charm!",0
Pull it back in if you think different.,0
It will be great if you could confirm it either way first.,1
"Great work...this is awesome stuff.
",1
"Thanks for the report, and sorry its taken so long to fix it.",0
"Got it, thanks for the explanation.",1
"Sorry, I forgot to change the priority of this one.",0
Sweet :) You got there before me,1
Thanks a lot for your help!,1
"Thanks a lot for sharing that, Josh!",1
Awesome discussion.,1
Damn it !,0
Indeed that would be VERY bad design.,0
Thanks Ilya.,1
"Sorry, for all the issue mails, I forgot to mention the second:

2) There is commented source in the test, should it be enabled or removed?",0
"Thanks, Joseph!",1
"+1 (damn intellij, it's not like patch format hasn't been standard for years)",0
"problem - the bit to sign the source-release is being called when the source-release isn't being built because the source-release is only built at the ""executionroot"".  ",0
I was not aware of being required to call that method.,0
No sorry.,0
"Sorry,I haven't tried you patch.",0
Sorry.,0
"Actually I don't want to specify the encoding, because I don't care how the data is transported to me.",0
Thanks for fixing it so quickly!,1
"Sorry, yes I believe this has been resolved.",0
Sorry.,0
Here is addendum to fix (Sorry about build breakage),0
"Grumble, grumble...",0
"Hi Guillaume,

I did not have an answer right away, so I sent you question to Leonard Rosenthol.",0
Forgot to add that I also tried this with and without HBASE-5864,0
Weird.,0
My bad.,0
Pretty sure this was fixed by the time we released JRuby 1.6.,1
It must be lost somewhere.,0
This name gets confusing with all of our prenamed *Worker* and *Master* classes.,0
"Sorry, should ask first.",0
"Thanks Ram,

That seems like a definite improvement.",1
"It sucks to lose the code readability, but it seems like a reasonable price to pay.",0
Am I doing something stupid here?,0
"Oh fuck :-) Sorry. Not my day, more beer needed!",0
"Thanks, Ashish!",1
This is a silly one.,0
* release of the framework.,0
Resolving again....,0
Sorry for that.,0
All I'm trying to say is that it's pretty easy to end up in propagation failure hell here or change something else that blows things up for use cases that are not foreseen.,0
Sorry again!,0
"Ok, wow, welcome to Linux hell...",0
Looks like this is fixed :),1
I don't know what just happened.,0
"Hi Bruno,

I like it, seems to work well at 1st glance

Thanks!",1
This sucks *so much*...,0
I missed the context.,0
thanks again Uwe,1
I don't care what we do as long as we don't change the attributes in JSP significantly.,0
I love a solution that's simpler and easier to understand than the original.,1
Sorry.,0
"This looks reasonable to me... sucks we have to special case handling of "" ""...",0
"Of course, StrFieldSource is a private class

No it's not.",0
"Thanks Areek, patch looks good!",1
"Sorry, I was trying to get to the wiki but it's been a busy week.
",0
Sorry.,0
"Yes, sorry.",0
"@Subbu:
Glad I was able to help.",1
My bad.,0
bq. this is solr's fault by having a getter that does some heavy duty xml shit.,0
Ok. Stupid user Error here.,0
"Sorry, misunderstood the issue!",0
Ok here is a patch that works. I was stupid enough not to see it...,0
"Ah, that was my bad.",0
"But I will quit committing to Hama then, because I'm not going to support ONLY a binary format.",0
"cool, no worries.",1
It seems really confusing.,0
"I just noticed your public tweet...

bq. ""@wilhelmbierbaum True. Fuck the Avro C API.""
",0
I think it's time to just close this issue.,0
Sorry about the trouble.,0
"Turning off hints is basically intended as a ""oh shit, something is broken with hints, let's turn it off"" switch.",0
"Cool, that's all good news too! Thanks guys. One less on my radar.",1
(I could not get what KEYWORD means.),0
"Hi Daniel, thanks in advance for your support.",1
"Thank you very much, Richard.",1
I'm however very interested in this feature as it is essential to me.,0
thanks edgar for finding this one!,1
"Someone, but I'm not sure who, owes me a public apology here.  /Larry  ",0
"Sorry, patch is attached ",0
v2 Looks good to me.,1
"
that's some freaky shit ...",0
Please ignore attachment (id=6938).,0
"Hello George,

The fix looks fine, many thanks!",1
"Hi Sagara,

Thank you very much for looking into this.",1
This might be a bug indeed.,0
I'm an idiot.,0
Patch applied with thanks!,1
"Thanks, Dhruba!",1
Sorry for the confusion :),0
"thanks,
nandana",1
"though I disagree with a signficant amount of statements you made,I don't think we would ever come to agreement anyway.",0
"Unfortunately, in these days where everyone that can put a CD
the right way up in a drive is a Linux/Unix/Windows/Internet Expert, this has become pretty common.",0
"Damn, it seemed it didn't work.",0
I'm sorry.,0
"Crap, forgot to verify that this is inconsistant with MRI, it's not.",0
Sorry about that.,0
@jira - I wish you didn't suck so much.,0
Hudson is stuck.,0
"Hi Marco,

I changed the name of patch because it was made in Java earliar, sorry for inconvenience.",0
"Sorry for the delay, I'm recreating the mirror now.",0
"Thanks Adrien for looking into this, nice explanation!",1
Sounds like a good idea.,1
Finally closing this bug from hell.,0
Thanks Jimmy.,1
Thanks Awdesh - Done at r821748.,1
This sucks badly.,0
I am new to Mina and the whole environment.,0
For those of us who don't care about ivy in fact lose something - a easy to build hbase.,0
It was a pretty stupid idea to use a static array of instances for QuorumOpMonitor.,0
"Why the hell do they deliver Duration, if they cannot instantiate it :-/",0
"@Oleg, please accept that my ""logical"" is different from your ""logical"".",0
I meet the same problem on Eclipse recently but haven't figured out how to get through.,0
ah - my bad.,0
"Sorry, I see that you say the same, Mike :)",0
"Then you're pretty well screwed.
",0
"If I can give you one advice on this one, I'd say this: fuck Derby, use H2 instead as the default embedded database.",0
Sorry for the trouble.,0
This is bad.,0
"I've tried something similar (I removed the handlers and kept the readers), but the performance was not visible.",0
I didn't know we needed to retain backwards config capability across 3.x to 4.x  :-(  That sucks and it'll make old code stick around longer.,0
CSS is really confusing sometimes.,0
Excuse me for stolen assignement.,0
"I am checking out the dojo fixes and patching them in, sorry for the delay, it has been a long time
",0
"sorry, this bug is *not* fixed.",0
"Hey, you're right, that idea was probably not the best approach to the problem - 0.6 looks really nice, looking forward to it :)",1
"Wow, thanks Raghu, that's awesome and will save me a ton of time. ",1
Thanks Tony.,1
once per every bad disk).,0
"Sigh, I don't like this overall if can't reuse everywhere.",0
"Hell, UnaryFunction might even be faster than all of these calls in a row.
",0
"Thanks, Sravya!",1
Thanks Christian.,1
"Ugh, sorry :(  Thanks!",0
Hey very cool. ,1
I think we all know it just sucks.,0
Yes exactly -- sorry to be so unclear.,0
Patch looks good to me.,1
{quote}You are messing down deep below hbase in dfs.,0
"My bad, this is already done.",0
I looked at our distributed pom.xml and they're pretty obscure.,0
Forget what I made(D8067).,0
What the hell?!,0
I should have been very careful before doing this.,0
"Sorry, it seems I forgot a few references to 2.0.2 in ./deps/cxf-all
I'm attaching a new patch to fix these references.",0
Our caller may not notice what happend right now.,0
Thanks Bob your patch is in trunk at r932317,1
Sorry for the missing class src/java/org/apache/jdo/tck/lifecycle/StateTransitionsReturnedObjects.java.,0
"Thanks, Amar!",1
I would love to have it right now for storm too. If you want me to sign up as a use case I am happy to.,1
"So, I'm fine with your logic, but given that I don't understand it please don't get upset when I ask questions on how I have to use it.",0
 Automatic location selection is very cool.,1
The evil NPE strik back !!,0
That is a bit too lax I think.,0
Thanks once again.,1
"My bad, had a typo in the subscription e-mail.",0
Sorry for the noise.,0
"Damn, I would close this out from the fix to JBSEAM-3742, except the quartz and seampay examples use a custom XML namespace and the XML schema validator is not happy with that.",0
"*Damn*, I forgot.",0
Tried some more stuff and realized I was doing it wrong.,0
An output connector should also have a say in what URLs it will accept.,0
"[~cmccabe]: oh, hell no!",0
"You are going to kill me when I say this, but it seems like we should just commit your first patch.",0
"Secondly reading this code I can see why this bug is happening, after completing stage 2 above when adding the new item the code does ""ordered - cancelled = quantity"" which equates to ""1 - 1 = 0"".",0
I don't have resources to hand to test this at mo.,0
I really don't care.,0
Damn...,0
> I hated that aspect of working for commercial companies.,0
"I think the correct resolution is to ensure that the prefix stack mechanism 
gets reset each time the XMLReader is used.",0
"
Forget the patch for the moment.",0
"Super, I'll commit shortly -- thanks Yonik!",1
"Best regards,
Richard",1
"Owen, thanks for the slides.",1
"Sorry, probably a misunderstanding from my side....",0
"Don't hate me, just throwing this out there.",0
Sorry for the noise.,0
cool man it looks good. we need a changes entry but from my side this looks good. we can tackle the todos on trunk,1
it's my bad.,0
"Thanks,
Arvind",1
Sweet kickstart for our new wiki!,1
sorry.,0
Why the hell is this not a bug?,0
SnappyCodec check for Hadoop native lib is wrong.,0
Sorry I've been MIA on this issue.,0
This was my bad.,0
Thanks  Rishi Solanki  to review the patch.,1
Pull it back in if you think different.,0
"sorry old xml here is the used one:

<?xml version=""1.0"" encoding=""UTF-8""?>
<root><value>?¤?¶?¼ und ??????",0
"I am not really sure what does the receive payment do before the shipment, it doesn't sound as if it is doing what we expect it to do.",0
"Thanks for taking care of this, Alejandro.",1
Sorry that I think I missed some discussion in the mailing list.,0
"Hi Suran,

The new catalogs_b.patch looks very good.",1
"Thanks Divesh,

Your patch is commited at revision: 762863  
",1
"But it was not the only issue: we also want to manage priorities between the tasks, but we need to read them to get enough information to make the right priorities.
",0
The cause is that the call to SpecificResponder.writeError in Responder.respond ultimately calls GenericData.resolveUnion which in turn calls GenericData.getSchemaName before the line where the UnresolvedUnionException gets thrown.,0
"Ah, sorry I misunderstood you.",0
"Thanks a lot, Jon for signing up this.",1
sorry for your time.,0
"Oh man ... it's a fucking precendence problem.
",0
"@Matt... I'm an idiot, I used the wrong patch. Sigh.",0
I'll just put fix in under this issue.,0
This is bad.,0
My bad.,0
(Do nothing): Are you serious about that?,0
"Cheers,

Ashwin...",1
which is silly -- bad package encapsulation).,0
"Ha sorry Varun, thanks for the reminder, I will have a look at it soon...",0
You misunderstood the response: StopFilter indeed did not change.,0
sorry for delay,0
Damn dyslexia!,0
Damn...,0
"Sorry, missed this.",0
Im stuck with IE6 unfortunately.,0
I'm confused.,0
Thanks Andrew - the patch was applied to SQL module at r525019.,1
My bad.,0
"Thank you, Ivan!",1
"Ok cool, this is just a matter of adding strings to the various [NotFound()|https://github.com/apache/mesos/blob/0.15.0-rc4/src/files/files.cpp#L160] returns in files.cpp

There are a number of error cases in the [browse|https://github.com/apache/mesos/blob/0.15.0-rc4/src/files/files.cpp#L204] and [read|https://github.com/apache/mesos/blob/0.15.0-rc4/src/files/files.cpp#L204] endpoints, I'd imagine one could change the javascript to generate bad requests which should be sufficient to test this :)",1
Thanks to Mathias Werlitz - sorry for the delay.,0
"Qianshi is working on the SSL session reuse, but this buggy Bug system does not allow him assign this ticket, sigh",0
"Then, to make matters worse, since the mid-1990's I've been offering pro bono advice to non-profit foundations whose members insult me regularly and assume I'm an amateur.  ",0
Weird.,0
Sounds good.,1
Thank you Thejas for the patch and Ivan for the review.,1
My bad.,0
"On 2008-10-20 11:43:52.354 woflexair commented:
Joan,

sorry for the noise in the bugbase but it's not a bug.",0
"They don't vote, they
whine that something (or everything) sucks.",0
"Thanks for spotting this, fixed at r487519",1
bq. First of welcome :) Thank you. ,1
"Many thanks, Neeme.",1
Thanks Oliver.,1
I am an idiot - this was a dupe of GUVNOR-84,0
"However, I figured it was better to get it in the public domain sooner and let the iterative process do it's work.",0
"Sorry Avdhesh, I forgot to add these two files to the patch, here is the new patch containing the missing files",0
Cool cool - thanks stack!,1
Is that ok for this file (b/c I have no idea how to do the svn move now ... after I've made all the changes already) :),1
Thanks Laura.,1
Thanks [~cnauroth] & [~tomwhite] for the reviews!,1
-1 to jar hell.,0
sorry.,0
"Thanks Bilgin,  it is working fine now.",1
I don't want one-offs like this to become lost and forgotten.,0
"Aaron, sorry about this.",0
"Thanks for reporting, solved!",1
@Ashutosh: thanks a lot for the comments.,1
"That irritated the hell out of me too, but I didn't realise it was configurable in the .launch file.",0
